account_number,transaction_datetime,transaction_amount,post_date,merchant_number,merchant_description,merchant_category_code,transaction_number
18230,03202021 06:10:47,6.56,3222021,2.15E+14,MCDONALD'S F11986      BLOUNTVILLE   WI,5814,1
29833,04012021 14:02:37,32.5,4032021,ASAI,1900 19th St.          Sacramento     NY,6011,1
21566,03212021 13:44:10,100,3222021,4.45E+11,CASH APP*ELLIOTT BR    4153753176    AK,4829,1
28388,04082021 13:06:04,69.67,4092021,1.98E+14,VZWRLSS*MY VZ VE P     800-922-0204  PA,4814,1
23800,03222021 04:34:22,41.28,3232021,CDKQALSNZXSCDGV,WWW.PAYWITHFOUR.COM    NORTH MIAMI   MD,5999,1
27143,04062021 18:40:42,20,4072021,4.46E+11,N26-US INC             8886260626    ID,6540,1
19990,03302021 07:55:24,12.51,3312021,4.45E+12,ARBYS #7310 VIDALIA    VIDALIA       CA,5814,1
22969,04032021 05:54:44,99,4052021,OKMA9PVMKL5WE1D,ALGOEXPERT LLC         RENO          NC,5734,1
23991,03252021 19:51:30,49.12,3272021,900003294,WM SUPERC Wal-Mart Sup LOUISVILLE (S  CA,5411,1
17178,03272021 18:40:51,27.13,3292021,20637152432,T AND R LIQUOR STORE   AURORA        CA,5921,1
36403,03262021 17:10:26,100,3272021,4.45E+11,CASH APP*TYLER TROY    4153753176    OH,4829,1
21248,03262021 12:35:24,17.35,3292021,4.67E+14,MCDONALD'S F21509      SUMTER        NY,5814,1
24493,04042021 16:45:18,12.62,4052021,633785,SHELL SERVICE STATION  N PROVIDENCE MDUS,5541,1
28078,03252021 09:56:34,1.6,3262021,1.93E+14,USA*CANTEEN VENDING    PHOENIX       NJ,5814,1
28440,03282021 17:58:34,9.84,3292021,3.45E+11,KFC/AW #521            AMERICAN FORK IL,5814,1
21152,03272021 20:05:21,45,3292021,4.45E+11,APPFOLIO    *CLEAN AS  8666481536    NJ,6513,1
27348,04022021 08:07:55,11.08,4032021,12754T22,WALGREENS STORE 7869 VECOLUMBUS     NMUS,5912,1
33788,03252021 10:37:56,106.63,3262021,2.52E+14,DILLARDS 775 POST OAK  HOUSTON       NY,5311,1
39236,03252021 06:07:00,59.98,3262021,VWWDZLYSWJ7YRZ1,SCRIBBLER              DALLAS        FL,5192,1
15451,04082021 23:38:11,62.3,4102021,2.35E+14,AMZN Mktp US*MV7879MJ3 Amzn.com/bill CA,5942,1
31481,03302021 07:11:05,62.5,4012021,ALI04222,MLK FOOD STO-LI04222   HOUSTON        OH,6011,1
32489,04012021 17:37:06,75.08,4022021,3.01E+14,ROOSTERS BELMAR        DENVER        TX,7230,1
32130,03262021 15:39:41,20.63,3272021,2.13E+14,SXM*SIRIUSXM.COM/ACCT  888-635-5144  CA,4899,1
22367,04012021 06:00:15,619.9,4032021,791707,KROGER #6 5111 HIGHLAN WATERFORD      IL,5411,1
28042,03302021 17:00:01,100,4012021,4.25E+11,VENMO                  8558124430    OH,4829,1
21455,04062021 17:01:25,8.7,4072021,4.45E+12,DOMINO'S 3322          BRONX         PA,5814,1
19939,04052021 14:18:21,180.88,4072021,14813725,KROGER #7 212 KROGER W VERSAILLES     CA,5411,1
17538,03302021 09:23:34,7.32,3312021,8027784068,AMC SCC CHOICES CAFE   ALBANY        CA,5499,1
14739,03262021 23:42:40,300,3292021,A0000000000ASBP,WYRE-146554            4153747356    TX,6051,1
15041,03292021 15:14:26,60.78,3312021,9557748,ANGELAS BISTRO AND WIN CROFTON       AK,5812,1
23697,04092021 13:42:32,66.3,4102021,1.79E+12,TRACTOR SUPPLY C 58 VIRROCKY MOUNT  CAUS,5599,1
17777,04022021 06:05:44,10.59,4032021,1.74E+11,PAYPAL *LEWISTATI2     4029357733    CA,4829,1
29437,04072021 02:00:30,66.77,4082021,2.35E+14,AMZN Mktp US*P32QR3OA3 Amzn.com/bill IN,5942,1
24124,04022021 14:50:25,92.73,4042021,89448,MARKET BASKET          ROWLEY         WY,5411,1
24732,03312021 19:00:53,18.33,4012021,4.45E+12,UA PUB                 COLUMBUS      VA,5813,1
32764,04022021 08:31:38,150,4032021,5.43E+14,SPEEDWAY 07329 10005 N CARMEL        LA,5541,1
19820,03312021 10:56:11,18.41,4012021,67107011223,THE HOME DEPOT #3639   CHARLOTTE    COUS,5200,1
14889,04062021 07:31:52,75,4082021,5.44E+14,SPEEDY CASH            888-333-1360  HI,6051,1
17032,03262021 16:15:54,25,3292021,3.96E+11,KLARNA *PAYMENTS       844-5527621   MN,5999,1
31815,03302021 11:31:42,9.45,3312021,3.45E+11,CHIPOTLE ONLINE        1800244768    NC,5814,1
21410,04032021 21:28:34,2.25,4052021,1,SQC*<Cash Out        > San Francisco  NY,6536,1
27486,03302021 17:05:52,20,3312021,1.74E+11,PAYPAL *ADD TO BAL     4029357733    OR,6051,1
14328,04012021 12:31:21,18.92,4022021,2.31E+14,NEW LEAF MARKET        SANTA CRUZ    WI,5411,1
21795,03302021 14:43:13,38.41,3312021,1.74E+11,PAYPAL *SCENTUALOBS SC 4029357733    MA,5611,1
24379,04032021 19:49:33,44,4052021,21437009000,DISPATCH SPORTS PUB &  LANSING       FL,5812,1
29455,03312021 09:04:13,13.5,4022021,3.76E+11,ARROWHEAD PKWY LAUNDRO SIOUX FALLS   PA,7211,1
31844,03312021 13:19:21,100,4012021,8.08E+14,AMERICAN EXPRESS SERVI 5058363360    TX,6012,1
15883,03312021 16:03:51,31.85,4012021,6.85E+14,CENEX KINGSVIL09880808 KINGSVILLE    TN,5541,1
32240,04032021 15:58:47,23.58,4052021,5.31E+14,PHO THAIBINH           DESOTO        NJ,5814,1
25368,04082021 17:37:08,9.95,4102021,7.20E+14,CHICK FIL A MAIN CLT   CHARLOTTE     FL,5814,1
19517,03302021 10:16:26,38.12,4012021,2.43E+14,SQ *EGGO'S CAFE        Hamilton      MD,5812,1
14558,04042021 06:14:12,17.28,4052021,1670658934,2COCOM*ABSOLUTEH&O     8882471614    CA,5818,1
31957,03282021 23:12:38,500,3302021,4.25E+11,VENMO                  8558124430    HI,4829,1
26263,04032021 07:05:35,32.01,4052021,4.45E+12,TARGET        00011288 BEAVERCREEK   GA,5411,1
34729,03292021 13:49:59,1,3302021,4.45E+11,CASH APP*RICARDO FI    4153753176    MA,4829,1
37639,03272021 11:37:57,17.23,3292021,7.20E+14,SHAKE SHACK 1142       MELVILLE      NJ,5814,1
39330,03312021 20:31:55,41.44,4012021,5.43E+14,ARRIBA MEXICAN GRILL 0 PHOENIX       CA,5812,1
19862,03272021 09:38:01,47.14,3292021,395473,SAYHAN INCORPOR        LYNN           CA,5542,1
32307,03292021 16:23:54,16.53,3312021,5.27E+14,TACO BELL 034628       GULFPORT      CA,5814,1
36836,03302021 12:11:22,12,4012021,48205028995,Wal-Mart Super Center  TOLEDO         NY,5411,1
20598,04042021 19:09:21,4.81,4062021,5.05E+14,MCDONALD'S F5351       GAINESVILLE   PA,5814,1
21777,03312021 11:09:14,7.84,4012021,8.79E+12,BLOOMINGTON MARKET     SAINT GEORGE  NJ,5812,1
26955,03312021 14:57:45,307.07,4012021,5.27E+14,Reverb.com             +18887262728  FL,5733,1
19444,04032021 12:53:08,94.11,4052021,59432612851,ROSS STORES #1285      LOS ANGELES    NY,5310,1
30340,03302021 14:19:04,40,3312021,4.45E+11,CASH APP*DARRELL JA    4153753176    HI,4829,1
24616,03312021 18:40:13,192.77,4022021,8.20E+14,ZIO CECIO              DALLAS        CO,5812,1
30772,03302021 09:15:22,20.41,4012021,ARCO42083001,ARCO #42083 AMPM       SAN DIEGO      NJ,5542,1
20011,04062021 12:39:00,3.51,4072021,0J490849601,Speedway 101 Prince RoyBerea        NJUS,5541,1
13626,03302021 14:18:46,53.99,3312021,1.12E+14,APPLE.COM/BILL         866-712-7753  NJ,5815,1
22782,03292021 18:38:16,4.34,3302021,3.42E+14,EXXONMOBIL    99383416 PLANT CITY    MA,5541,1
19505,03292021 10:29:11,0.01,3292021,1.92E+14,COX OKLAHOMA COMM SV   800-234-3993  IL,4899,1
13986,04022021 18:21:38,3956.95,4032021,3.96E+11,ETT*ESSEXRENT          801-8775491   OR,6513,1
36827,03302021 09:22:02,7.89,3312021,4.01E+14,CHEVRON 0380732        LAS VEGAS     TX,5541,1
16392,04092021 05:03:59,20,4112021,8.00E+11,BUC-EE'S #44 1550 CENT MELISSA        IL,5542,1
38256,04012021 15:34:04,15.43,4062021,3.35E+11,DAIRY QUEEN #44452     CHANDLER      OH,5814,1
37616,03292021 12:55:09,20.7,3312021,7.98E+14,DELUXE DRY CLEANERS    KIRKLAND      CA,7216,1
30942,03292021 13:06:46,9.97,3302021,8.92E+13,ALLSTATE    *PAYMENT   800-255-7828  TX,6300,1
18067,03292021 12:49:35,37.67,4022021,7.85E+14,Amazon.com*907XJ0AJ3   Amzn.com/bill TN,5942,1
23427,03292021 11:22:44,89,3312021,6.10E+14,APPLIED BANK PROCESSIN WILMINGTON    WI,6012,1
20717,04032021 12:54:00,51.76,4042021,528443,SHELL SERVICE STATION  ARRINGTON    MDUS,5542,1
25471,03312021 16:40:23,17.78,4022021,1405837,QFC #5851 22828 100TH  EDMONDS        TX,5411,1
39184,03292021 16:23:13,38.92,3302021,3.96E+11,ETSY.COM - THEMADAMEPH 844-6593879   CA,5965,1
36086,04032021 14:36:49,41.25,4052021,PUDQZN4QXKO0YK7,VCA ANIMAL HOSPITALS   LOS ANGELES   NY,742,1
20908,03292021 06:53:58,40,3302021,2.36E+14,COMCAST CHICAGO        800-266-2278  NJ,4899,1
26669,03302021 02:43:55,7.57,4012021,3.72E+11,AMZN MKTP US*GK9D80QJ3 AMZN.COM/BILL OH,5942,1
26208,04062021 08:58:15,1.84,4072021,7171526,3ACOMPANYKITCHEN 877-2 TROY          OR,5814,1
14405,03302021 15:37:55,100,3312021,2.02E+14,GOOGLE *Pay            g.co/helppay# NC,4829,1
16841,03302021 11:02:53,9.62,3312021,48202838990,WAL-MART #2838         HENDERSON     NY,5411,1
28382,03312021 19:20:07,47.05,4012021,7.20E+11,CUMBERLAND FARMS 2312  BRIDGEWATER  AZUS,5542,1
13868,03312021 07:24:07,20.01,4022021,586583,BP#2037851PALM         LEXINGTON      IN,5542,1
26995,03302021 09:21:04,3.23,4012021,900000105,WM SUPERC Wal-Mart Sup CORINTH        NY,5411,1
33452,04012021 13:15:32,91.89,4032021,3402032,TARGET T- 1240 Broadwa Chula Vista    NJ,5411,1
16068,03302021 17:14:55,9.84,3312021,9.45E+14,PANDA EXPRESS #1772    JACKSONVILLE  NY,5814,1
17478,04092021 22:31:01,48.18,4102021,Z1VT06DY82I44GL,HOURCAR.ORG            SAINT PAUL    AR,4789,1
20253,04092021 18:47:11,5.39,4102021,4.45E+12,STEAK N SHAKE 1101     SPRINGFIELD   MN,5812,1
25087,04062021 09:23:04,45,4072021,4.46E+11,SP * THE PEACH TRUCK   6159134225    PA,5734,1
29075,04042021 01:08:14,63,4062021,CHASE,600 MCGOWEN ST         HOUSTON        LA,6011,1
31010,04092021 10:47:10,42,4102021,2.43E+14,SQ *EMORY HAIRCUTTERS  Atlanta       NY,7230,1
38915,04092021 02:25:49,152.56,4102021,3.28E+11,AT&T*BILL PAYMENT      8003310500    CA,4814,1
14215,04042021 14:09:32,5.41,4062021,2.66E+11,WENDY'S #8263          MCKINNEY      ID,5814,1
32977,04032021 18:57:45,58.41,4052021,3.35E+11,CHILI'S NORTHRIDGE     NORTHRIDGE    TX,5812,1
23202,04042021 09:33:23,49.1,4052021,21672502000,HILL CAFE              LEWISVILLE    PA,5812,1
26045,04032021 06:48:00,4.31,4042021,17370T21,WALGREENS STORE 4730 FOCOLUMBIA     HIUS,5912,1
35934,04022021 16:44:22,20,4042021,10101063,OPS* COIN 205 E 95TH S NEW YORK       NV,7211,1
31092,04082021 19:54:51,13.16,4102021,244484,WAL-MART #4484         RALEIGH        IL,5411,1
13907,04062021 19:12:21,83.92,4072021,3.46E+11,PACIFIC DIAGNOSTIC LAB 8668099048    NJ,8071,1
38303,04072021 08:43:34,13.25,4082021,1.88E+14,SQ *FIRST CLASS CAFE   Tampa         SC,5812,1
26238,04032021 13:17:38,4.19,4052021,25910679,DOLLARTRE 24520 FALCON ABINGDON       MD,5331,1
32779,04022021 18:22:04,203,4042021,VS005043,CVS STORE  #-S005043   LAS VEGAS      NY,6011,1
19855,04052021 12:34:23,57.17,4062021,3.34E+11,HABOR FREIGHT TOOLS313 WESLACO      NYUS,5251,1
34882,04032021 04:44:20,6.21,4052021,1,SQC*<Cash Out        > San Francisco  CA,6536,1
33168,04052021 19:23:09,99.5,4062021,4.45E+11,CASH APP*TYLER MILL    4153753176    MA,4829,1
25634,04072021 08:47:08,164.1,4082021,2.20E+14,INOVA HEALTH CARE SERV 571-4235750   CA,8011,1
28064,04052021 11:46:12,1.45,4062021,3.90E+11,USA*FIVE STAR FOOD VEN KNOXVILLE     NJ,5814,1
17593,04052021 16:52:05,5,4062021,3.88E+14,CRAIGSLIST.ORG         415-399-5200  CA,5969,1
21994,04072021 22:16:45,99,4092021,6.80E+13,SPECTRUM               855-707-7328  IL,4899,1
30796,04082021 08:58:04,15.52,4102021,1.78E+14,EDDIE BAUER 950        CARMEL        NJ,5655,1
23312,04082021 12:47:52,53.99,4102021,48203308993,Wal-Mart Super Center  MIDDLEBURG     OH,5411,1
35903,04092021 21:02:07,1663.71,4102021,64QIF4W7QVYGWLB,KICKFURTHER.COM        BOULDER       CA,5999,1
29162,04092021 09:45:23,9.04,4102021,4.45E+12,WENDY'S #2104          LAFAYETTE     FL,5814,1
16090,04082021 09:31:46,100,4092021,3.96E+11,FANDUEL BETFAIR INC    877-6890662   CA,7801,1
29402,04092021 01:10:58,1.95,4102021,1.74E+11,PP*7755CODE            4029357733    PA,8999,1
54722,02192021 09:55:25,1009.9,2202021,5.27E+14,CFA Institute          4349515499    CA,8299,1
54891,02192021 09:55:25,1009.9,2202021,5.27E+14,CFA Institute          4349515499   SD,8299,1
54992,02192021 09:55:25,100.9,2202021,5.27E+14,Taco Bell          4349515499    MD,8299,1
54999,02192021 09:55:25,1009.9,2202021,5.27E+14,CFA Institute          4349515499    PA,8299,1
33555,02192021 09:55:25,1009.9,2202021,5.27E+14,CFA Institute          4349515499    NY,8299,1
37222,02192021 09:55:25,1009.9,2202021,5.27E+14,SHELL OIL          4349515499    CA,8299,1
11111,02092021 11:15:52,14,2112021,2.25E+11,CHAPULTEPEC LUPITA     HOUSTON       TX,5812,2
26522,01272021 09:34:44,0.9,1272021,6.50E+14,PCBC SPRINGVILLE       SPRINGVILLE   LA,5814,2
31938,01022021 21:00:41,5.14,1042021,3.32E+14,HARMONS-TRAVERSE MNT   WEST VALLEY C MI,5411,2
31094,01042021 12:23:49,10.7,1052021,5.20E+14,SOUTHSIDE ESPRESSO LLC HOUSTON       NJ,5812,2
53111,02092021 11:15:52,14,2112021,2.25E+11,CHAPULTEPEC LUPITA     Hamilton       OH,5812,2
53222,02092021 11:15:52,14,2112021,2.25E+11,CHAPULTEPEC LUPITA     Ashland       OH,5812,2
54566,02092021 11:15:52,7.9,2112021,2.25E+11,Starbucks     Chicago       IL,5812,2
18393,01022021 09:43:06,49.97,1042021,48201409991,Wal-Mart Store         HOUSTON        AK,5310,2
37466,01012021 12:02:42,5.37,1022021,1.88E+14,SQ *A 2ND CUP          Houston       OH,5812,2
22222,02092021 11:15:52,14,2112021,2.25E+11,CHAPULTEPEC LUPITA     San Diego       CA,5812,2
38829,01032021 12:44:16,4.06,1042021,3.20E+14,STARBUCKS STORE 06499  HOUSTON       OH,5814,2
43991,02092021 11:15:52,14,2112021,2.25E+11,CHAPULTEPEC LUPITA     Brighton       MI,5812,2
44891,02092021 11:15:52,14,2112021,2.25E+11,CHAPULTEPEC LUPITA     Bridgeport       NJ,5812,2
46762,02092021 11:15:52,14,2112021,2.25E+11,Burger King     Anchorage       AK,5812,2
33333,02092021 11:15:52,14,2112021,2.25E+11,CHAPULTEPEC LUPITA     Newark       NJ,5812,2
25643,01022021 10:02:02,4.85,1042021,5.05E+14,MCDONALD'S M6176 OF    PEARLAND      IL,5814,2
32628,01042021 10:30:51,1,1052021,4.25E+11,VENMO                  8558124430    CA,4829,2
18054,01112021 11:59:09,13,1132021,21668538000,LA TAPATIA MEXICAN CAF HOUSTON       SD,5812,2
37632,01312021 12:44:57,194.84,2012021,3.46E+11,BESTBUYCOM806419403864 888-BESTBUY   MD,5732,2
28226,01042021 10:35:44,1.5,1052021,4.25E+11,VENMO                  8558124430    PA,4829,2
37226,01112021 16:20:37,4.76,1122021,868320,SHELL SERVICE STATION  SCOTTSDALE   NYUS,5541,2
19485,01142021 14:55:13,114.14,1162021,3.35E+11,HEB CENTRAL MARKET     800-987-4438  CA,5411,2
33945,01162021 19:00:25,9.8,1192021,7.37E+11,CONSTELLATION@NEW YORK BRONX         OH,5812,2
14829,02032021 14:18:13,21.67,2052021,4.23E+14,JUICE ISLAND           NEW YORK      TX,5814,2
22824,01282021 12:23:21,20.97,1292021,879688,CENTRAL MARKET #491    HOUSTON      AZUS,5411,2
31452,01172021 16:31:18,10.11,1182021,8.39E+14,CHEVRON 0374409        PEARLAND      TN,5542,2
26856,01222021 12:39:31,22.58,1252021,5.66E+14,CHICK-FIL-A #02069     SPRING        WI,5814,2
26607,01192021 22:07:43,101.53,1202021,4.45E+12,WHOLEFDS NPT #10468    NEWPORT BEACH MI,5411,2
36717,01262021 16:17:08,22.67,1272021,3.76E+14,MURPHY7683ATWALMART    PEARLAND      IL,5542,2
37385,02272021 10:49:13,2,3012021,2.35E+11,TX.GOV*SERVICEFEE-DIR  8774529060    PA,9399,2
33717,02082021 10:16:17,25,2092021,5.54E+14,The Suisse Shop Bakery Columbus      CA,5462,2
14281,01242021 08:14:54,11.42,1252021,3.00E+14,THE UPS STORE 4026     SKILLMAN      TX,7399,2
28658,01222021 23:07:47,66.16,1232021,2.43E+14,SQ *OISHII RAMEN       gosq.com      NY,5499,2
30881,01282021 11:01:10,151.54,1302021,5.32E+14,NOT JUST SOCCER (NEW)  DALLAS        NJ,5941,2
33152,03092021 23:13:52,21.63,3112021,2.35E+14,AMZN Mktp US*S80WW0563 Amzn.com/bill WI,5942,2
15482,01232021 12:42:46,25.96,1252021,1.93E+13,GOODWILL 1243-LAKEWAY  LAKEWAY       KS,5931,2
16456,03122021 11:39:29,82.66,3152021,8.49E+11,BISTRO 31              DALLAS        MD,5812,2
27014,02052021 10:40:00,35,2062021,4.45E+11,INDIEGOGO* CM10YEARS   8666414646    NY,5734,2
34454,02012021 11:01:13,0.75,2022021,4.45E+12,USPS PO 4845750450     KATY          TX,9402,2
26777,04042021 12:40:54,2.99,4052021,18777015,GOOGLE*GOOGLE PLAY     INTERNET      OH,5817,2
20759,01292021 10:52:53,16.55,1312021,469222,CENTRAL MARKET         DALLAS         NM,5411,2
32922,02102021 10:48:30,10.8,2112021,2.43E+14,SQ *BUTTA CAKES        SCOTTSDALE    NJ,5462,2
17079,02122021 16:33:18,32.24,2152021,52598489000,EL TORITO MILPITAS     MILPITAS      NJ,5812,2
26603,02092021 13:22:10,9.75,2102021,7.20E+14,TOGO'S LAWRENCE EXPY   SUNNYVALE     NY,5814,2
20669,02052021 14:39:51,20,2082021,9.43E+13,SPIN N GO              HOUSTON       LA,5542,2
22965,03112021 13:10:39,97.48,3132021,7019230999,BED BATH & BEYOND #123 NEW HYDE PARK NY,5719,2
24029,03102021 22:43:19,57.94,3122021,2.35E+14,AMZN Mktp US*W94B93FH3 Amzn.com/bill CA,5942,2
31488,03152021 16:27:37,14.87,3172021,29806383709,FOOD EMPO 452 W 43RD S NEW YORK       TX,5411,2
31593,03192021 09:46:02,859.75,3202021,8036863218,NORTH HOUSTON BEEMER L SPRING        KS,7538,2
